"Concurso";"Data do Sorteio";"Coluna1";"Coluna2";"Coluna3";"Coluna4";"Coluna5";"Coluna6";"Ganhadores Faixa 1";"Ganhadores Faixa 2";"Ganhadores Faixa 3";"Rateio Faixa 1";"Rateio Faixa2";"Rateio Faixa 3";"Cidade";"Valor Arrecadado";"Estimativa para o próximo concurso";"Valor Acumulado Próximo Concurso";"Acumulado";"Sorteio Especial";"Observação"
1;1996-03-11 00:00:00;4;5;30;33;41;52;0;17;2016;0.00;39158.92;330.21;-;0.00;0.00;1714650.23;Sim;Não;-
2;1996-03-18 00:00:00;9;37;39;41;43;49;1;65;4488;2307162.23;14424.02;208.91;PR;0.00;0.00;0.00;Não;Não;-
3;1996-03-25 00:00:00;10;11;29;30;36;47;2;62;4261;391192.51;10515.93;153.01;RN::SP;0.00;0.00;0.00;Não;Não;-
4;1996-04-01 00:00:00;1;5;6;27;42;59;0;39;3311;0.00;15322.24;180.48;-;0.00;0.00;717080.75;Sim;Não;-
5;1996-04-08 00:00:00;1;2;6;16;19;46;0;98;5399;0.00;5318.10;96.53;-;0.00;0.00;1342488.85;Sim;Não;-
6;1996-04-15 00:00:00;7;13;19;22;40;47;0;109;7147;0.00;7214.66;110.03;-;0.00;0.00;2286166.33;Sim;Não;-
7;1996-04-22 00:00:00;3;5;20;21;38;56;0;100;5736;0.00;8746.05;152.48;-;0.00;0.00;3335692.28;Sim;Não;-
8;1996-04-29 00:00:00;4;17;37;38;47;53;0;60;5262;0.00;16084.11;183.40;-;0.00;0.00;4493748.19;Sim;Não;-
9;1996-05-06 00:00:00;8;43;54;55;56;60;0;17;2175;0.00;60043.79;469.31;-;0.00;0.00;5718641.49;Sim;Não;-
10;1996-05-13 00:00:00;4;18;21;25;38;57;0;251;12590;0.00;6638.45;132.35;-;0.00;0.00;13334769.81;Sim;Não;-
11;1996-05-20 00:00:00;15;25;37;38;58;59;1;148;9442;15591365.07;12706.05;199.16;RJ;0.00;0.00;0.00;Não;Não;-
12;1996-05-27 00:00:00;4;16;19;20;27;43;0;108;6454;0.00;6791.17;113.64;-;0.00;0.00;880136.24;Sim;Não;-
13;1996-06-03 00:00:00;18;32;47;50;54;56;0;43;2934;0.00;20543.98;301.09;-;0.00;0.00;1940205.35;Sim;Não;-
14;1996-06-10 00:00:00;2;16;23;27;47;53;0;85;5323;0.00;10458.19;167.00;-;0.00;0.00;3006941.32;Sim;Não;-
